Store Number,Store Name,Customer Segment,Address,County,Store Longitude,Store Latitude
4255,FAREWAY STORES #058 / ORANGE CITY,Champions,512  8TH SE,SIOUX,-96.0519,42.99754
5946,TOBACCO OUTLET PLUS #530 / AMES,Big Spenders,204 S DUFF AVE,STORY,-93.61033,42.02126
3715,KIMBERLY MART / DAVENPORT,Champions,1714 E KIMBERLY RD,SCOTT,-90.55099,41.55698
3670,WAL-MART 2827 / CORALVILLE,Champions,2801 COMMERCE DR,JOHNSON,-91.61228,41.6957
4277,CORK IT!,Champions,769 PROSPECT ST SW,PLYMOUTH,-96.17821,42.77626
5335,EXPO LIQUOR,Champions,1810 STATE STREET,SCOTT,-90.50689,41.52528
5153,OAK STREET STATION LLC,Big Spenders,2403 US HWY 18,LYON,-96.43086,43.3015
5933,ALI'S CORNER / WATERLOO,Champions,1117 E 4TH ST,IOWA,-92.33275,42.50773
5691,LOGAN AVE CONVENIENCE STORE / WATERLOO,Need Attention,735 LOGAN AVE,BLACK HAWK,-92.33774,42.51042
10039,LIQUOR LOVERS / ANKENY,Champions,1510 SOUTH ANKENY BOULEVARD PRAIRIE TRAIL SUITE 106 108,POLK,-93.60049,41.71523
4153,FAREWAY STORES #067 / EVANSDALE,Champions,215 S EVANS RD,BLACK HAWK,-92.28783,42.47561
5914,UNI MART / WATERLOO,Big Spenders,1615 BISHOP AVE,BLACK HAWK,-92.29308,42.49808
4194,FAREWAY STORES #848 / NEWTON,Champions,120 N 3RD AVE E,JASPER,-93.05287,41.70143
3763,MAIN STREET LIQUORS / HAWARDEN,Big Spenders,911 CENTRAL AVE,SIOUX,-96.48524,42.9961
3981,WAL-MART 1152 / SIOUX CENTER,Champions,255 16TH ST SW,SIOUX,-96.17962,43.06085
2500,HY-VEE FOOD STORE #1 (1013) / AMES,Champions,3800 W LINCOLN WAY,STORY,-93.56332,42.02297
4978,PRIME MART #3535 / WATERLOO,Big Spenders,3535 MARIGOLD DR,BLACK HAWK,-92.29137,42.43538
4265,KWIK STOP 3 / WATERLOO,Champions,1104 WASHINGTON ST,BLACK HAWK,-92.33695,42.4891
3690,TARGET STORE T-1792 / WATERLOO,Big Spenders,1501 E SAN MARNAN,BLACK HAWK,-92.32519,42.46459
2622,HY-VEE FOOD STORE / IOWA CITY,Champions,1125 N DODGE ST,JOHNSON,-91.51861,41.67619
5187,KWIK STOP LIQUOR & GROCERIES AMES,Champions,125 6TH ST,STORY,-93.61177,42.02692
5504,NEIGHBORHOOD MART,Champions,2102 LAFAYETTE ST,BLACK HAWK,-92.3139,42.48991
6263,PUMP N PACK / ROCK VALLEY,Big Spenders,1004 MAIN STREET,SIOUX,-96.29486,43.20017
5681,QUICK CORNER / HAWARDEN,Big Spenders,901 10TH ST,SIOUX,-96.48202,42.99675
3873,TARGET STORE T-1113 / CORALVILLE,Big Spenders,1441 CORAL RIDGE AVE,JOHNSON,-91.60845,41.69072
6239,LARCHWOOD QUICK STOP / LARCHWOOD,Big Spenders,832 BROADWAY STREET,LYON,-96.43413,43.45353
3742,WAL-MART 1625 / LEMARS,Champions,1111 HOLTON DR,PLYMOUTH,-96.18537,42.78092
6083,NEIGHBORHOOD LIQUOR AND SMOKES / AMES,Champions,3505 LINCOLN WAY SUITE 105,STORY,-93.66606,42.02284
4084,FAREWAY STORES #061 / ANKENY,Champions,3205 NORTH ANKENY BLVD,POLK,-93.60019,41.75677
6102,BREW OIL #53 / SIBLEY,Big Spenders,1026 2ND AVE,OSCEOLA,-95.75205,43.39794
4891,SCHOTTSY'S LIQUOR,Champions,109 5TH ST,OSCEOLA,-95.75126,43.40398
5639,CASEY'S GENERAL STORE #68 / ALTON,Big Spenders,1109 3RD AVE,SIOUX,-96.00934,42.98902
5730,JIM'S FOOD,Big Spenders,437 SULLIVAN AVENUE,BLACK HAWK,-92.35592,42.48713
4301,SAHOTA FOOD MART,Potential Loyalist,1805 SE 14TH ST,POLK,-93.59692,41.57218
5133,DON'S FOOD CENTER,Need Attention,"102, ALBANY AVE NE",SIOUX,-96.05676,43.00638
3917,SMOKIN' JOE'S #2 TOBACCO AND LIQUOR OUTLET,Champions,1606 W LOCUST ST,SCOTT,-90.59904,41.53824
4336,LAST CALL 2,Big Spenders,120 N MAIN ST,LYON,-96.00235,43.34429
5662,RIVERSIDE LIQUOR 2 / DAVENPORT,Champions,1528 W LOCUST,SCOTT,-90.59742,41.53823
5144,SAM'S CLUB 6979 / ANKENY,Champions,4625 SE DELAWARE AVE,POLK,-93.58123,41.69018
5900,NEW STAR FLETCHER / WATERLOO,Champions,315 FLETCHER AVE,BLACK HAWK,-92.36714,42.48911
4630,EZ STOP / DAVENPORT,Big Spenders,2923 BRADY ST,SCOTT,-90.57062,41.54989
4337,GRAND FALLS CASINO RESORT,Big Spenders,1415 GRAND FALLS BLVD,LYON,-96.50552,43.49704
4161,FAREWAY STORES #950 / IOWA CITY,Champions,2530 WESTWINDS DR,JOHNSON,-91.5757,41.65082
5331,CASEY'S GENERAL STORE # 1536/ GEORGE,Big Spenders,301 E MICHIGAN AVE,LYON,-95.9983,43.34363
6038,CASEY'S GENERAL STORE #2880 / WATERLOO,Big Spenders,1604 LA PORTE RD,BLACK HAWK,-92.32269,42.47087
3624,WAL-MART 0748 / NEWTON,Champions,300 IOWA SPEEDWAY DR,JASPER,-93.01448,41.69663
5622,CASEY'S GENERAL STORE #3044 / SHELDON,Big Spenders,504 2ND AVE,O'BRIEN,-95.85427,43.18581
5413,LIL' CHUBS CORNER STOP,Big Spenders,712 S OAK ST,LYON,-96.43085,43.30205
10040,HOSPERS MINI MART / HOSPERS,Need Attention,4501 400TH STREET,SIOUX,-95.89931,43.06922
10063,IB PONY / WATERLOO,Big Spenders,9 N ELK RUN ROAD,BLACK HAWK,-92.25888,42.49876
10080,NEW STAR RAYMOND / RAYMOND,Big Spenders,101 COMMERCIAL STREET,BLACK HAWK,-92.21943,42.46627
6308,LIQUOR LAND / AMES,Need Attention,4518 MORTENSEN ROAD,STORY,-93.68065,42.01216
5480,CASEY'S GENERAL STORE #3385 / ORANGE CITY,Big Spenders,704 8TH ST SE,SIOUX,-96.04944,42.99754
6008,TARGET STORE T-3374 / IOWA CITY,Big Spenders,113 E WASHINGTON ST,JOHNSON,-91.53395,41.66008
5410,UMIYA FOODMART INC,Big Spenders,318 E NORTH ST.,MADISON,-93.84308,41.2099
4143,BUCKY'S / LAWLER,Big Spenders,603  E HWY 24,CHICKASAW,-92.14712,43.06788
3385,SAM'S CLUB 8162 / CEDAR RAPIDS,Champions,2605 BLAIRS FERRY RD NE,LINN,-91.6796899,42.0318188
2191,KEOKUK SPIRITS,Champions,1013 MAIN,LEE,-91.38774,40.40001
5293,THE BOONEDOCKS,Champions,"228, N HWY 71",DICKINSON,-95.12596,43.37085
2532,HY-VEE FOOD STORE #2 (1138) / DES MOINES,Champions,2540 E EUCLID,POLK,-93.56944,41.62835
3484,JEFF'S FOODS,Big Spenders,110 W CEDAR ST,CHEROKEE,-95.80858,42.8257
2673,HY-VEE # 6/ DES MOINES,Champions,420 COURT AVE,POLK,-93.62204,41.58432
5349,CASEY'S GENERAL STORE # 3564/ ROBINS,Big Spenders,990 ROBINS SQUARE DR.,LINN,-91.65375,42.0682
2572,HY-VEE FOOD STORE / CEDAR FALLS,Champions,6301 UNIVERSITY,BLACK HAWK,-92.43346,42.51353
4655,CASEY'S GENERAL STORE #2237 / PRAIRIE CITY,Big Spenders,1002 W 2ND ST,JASPER,-93.24739,41.5967
2588,HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,Champions,4035 MT VERNON RD SE,LINN,-91.60979,41.97687
6205,MEGA SAVER # 3607 / COUNCIL BLUFFS,Champions,3607 9TH AVENUE,POTTAWATTAMIE,-95.90509,41.25369
3390,OKOBOJI AVENUE LIQUOR,Champions,1610 OKOBOJI AVENUE,DICKINSON,-95.14999,43.33154
5676,FAMILY PANTRY,Champions,4538 LOWER BEAVER RD,POLK,-93.66588,41.63867
4463,CASEY'S GENERAL STORE #3031 / GARNER,Big Spenders,145 US HWY 18 W,HANCOCK,-93.60278,43.10582
4397,QUIK TRIP #514 / ANKENY,Big Spenders,802 E 1ST ST,POLK,-93.5863,41.73188
5565,CASEY'S GENERAL STORE #1310 / ANKENY,Big Spenders,1310 NW 18TH ST,POLK,-93.61722,41.74682
4449,KUM & GO #121 / URBANDALE,Big Spenders,12041 DOUGLAS PKWY,POLK,-93.78192,41.62961
6147,BANI'S / CEDAR FALLS,Champions,2128 COLLEGE STREET,BLACK HAWK,-92.45579,42.51801
4272,FAREWAY STORES #407 / ESTERVILLE,Champions,1108 CENTRAL AVE,EMMET,-94.82983,43.40204
2584,HY-VEE FOOD STORE / FORT MADISON,Champions,2606 AVENUE L,LEE,-91.34292,40.62702
2601,HY-VEE FOOD STORE / FAIRFIELD,Champions,1300 WEST BURLINGTON AVE,JEFFERSON,-91.97969,41.00646
5963,CASEY'S GENERAL STORE #1798 / FOREST CITY,Big Spenders,106 HWY 69 S,WINNEBAGO,-93.63301,43.26304
2621,HY-VEE FOOD STORE #3 / SIOUX CITY,Champions,3301 GORDON DR,WOODBURY,-96.36268,42.48854
2590,HY-VEE FOOD STORE #5 / CEDAR RAPIDS,Champions,3235 OAKLAND ROAD NE,LINN,-91.65818,42.01089
3625,WAL-MART 0892 / ANKENY,Champions,1002 SE NATIONAL DR,POLK,-93.58243,41.70485
3645,WAL-MART 1764 / WINDSOR HEIGHTS,Champions,1001  73RD ST,POLK,-93.71857,41.59669
2611,HY-VEE DRUGSTORE / OTTUMWA,Champions,1140 NORTH JEFFERSON ST,WAPELLO,-92.40153,41.02675
4202,FAREWAY STORES #829 / SIOUX CITY,Champions,4267 SERGEANT ROAD,WOODBURY,-96.35281,42.44921
3722,WAL-MART 1361 / SIOUX CITY,Champions,3400 SINGING HILLS BLVD,WOODBURY,-96.3644,42.43607
2130,SYCAMORE CONVENIENCE,Champions,617 SYCAMORE,BLACK HAWK,-92.33538,42.49784
5685,FAREWAY STORES #190 / CEDAR FALLS,Champions,4500 S MAIN ST,BLACK HAWK,-92.44587,42.4983
5590,CASEY'S GENERAL STORE #1941 / ANKENY,Big Spenders,1010 SE ORALABOR RD,POLK,-93.58189,41.70346
4774,CASEY'S GENERAL STORE #3034 / ESTHERVILLE,Big Spenders,"1615, CENTRAL AVE",EMMET,-94.82204,43.40217
6248,QUICK STOP #380 / CEDAR RAPIDS,Champions,380 BLAIRS FERRY ROAD NORTHEAST,LINN,-91.63815,42.03475
2555,HY-VEE FOOD STORE (1324) / KEOKUK,Champions,3111 MAIN,LEE,-91.40373,40.41537
2538,HY-VEE FOOD STORE #3 (1866) / WATERLOO,Champions,1422 FLAMMANG DR,BLACK HAWK,-92.32789,42.45998
4083,FAREWAY STORES #909 / ANKENY,Champions,109 SE ORALABOR ROAD,POLK,-93.5995,41.70282
2653,HY-VEE WINE AND SPIRITS / WASHINGTON,Champions,1004 W MADISON ST,WASHINGTON,-91.70457,41.29657
4169,SUPER QUICK 2 / HUBBELL,Champions,1824 HUBBELL AVE,POLK,-93.58652,41.59604
2620,HY-VEE / WINDSOR HEIGHTS,Champions,7101 UNIVERSITY AVE,POLK,-93.7136,41.60038
2558,HY-VEE FOOD STORE (1433) / MOUNT PLEASANT,Champions,1700 E WASHINGTON,HENRY,-91.52872,40.9623
2585,HY-VEE WINE AND SPIRITS (1010) / ALGONA,Champions,1502 HIGHWAY 169 N SUITE 1,KOSSUTH,-94.23605,43.08152
10106,MILL STREET WINE AND SPIRITS / LAKE MILLS,Big Spenders,107 NORTH MILL STREET,WINNEBAGO,-93.535,43.41968
2629,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,Champions,1745 MADISON AVE,POTTAWATTAMIE,-95.82664,41.24351
5315,BROTHER'S MARKET WINE AND SPIRITS,Big Spenders,110 SOUTH MAIN STREET,KEOKUK,-92.20517,41.33328
4993,SITE FOOD MART,Big Spenders,"1301, MAIN ST",LEE,-91.39005,40.40225
4687,KUM & GO #517 / CEDAR RAPIDS,Potential Loyalist,3132 1ST AVE NE,LINN,-91.6349,42.00961
5636,HAWKS SMOKE SHOP / CEDAR RAPIDS,Champions,5427  CENTER POINT RD,LINN,-91.66808,42.03348
2106,HILLSTREET NEWS AND TOBACCO,Champions,2217 COLLEGE,BLACK HAWK,-92.4558,42.51717
3769,WAL-MART 0753 / CEDAR FALLS,Champions,525 BRANDILYNN BLVD,BLACK HAWK,-92.44005,42.48501
6339,AINSWORTH FOUR CORNERS / AINSWORTH,Big Spenders,3112 IOWA 92,WASHINGTON,-91.53744,41.29042
5435,JUNCTION LIQUOR,Big Spenders,"10 3RD ST. NW, STE B",O'BRIEN,-95.47714,43.18482
3757,WAL-MART 3590 / SIOUX CITY,Champions,3101 FLOYD BLVD,WOODBURY,-96.37242,42.53119
5068,TOBACCO SHOP / ARNOLDS PARK,Champions,612 S HIGHWAY 71,DICKINSON,-95.14021,43.36166
5374,IOWA LIQUOR & TOBACCO,Champions,1021 EAST MAIN STREET,WAPELLO,-92.4007,41.0104
6258,FORT MADISON TOBACCO AND LIQUOR OUTLET PLUS / FORT MADISON,Champions,1735 AVENUE H,LEE,-91.3298,40.63022
2522,HY-VEE WINE AND SPIRITS (1628) / SPIRIT LAKE,Champions,1902 PEORIA AVENUE,DICKINSON,-95.11185,43.42172
5911,OLD FIRE LIQUOR / BUFFALO CENTER,Big Spenders,113 1ST ST NW,WINNEBAGO,-93.94756,43.38676
2605,HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,Champions,2001 BLAIRS FERRY RD NE,LINN,-91.66913,42.0348
2548,HY-VEE FOOD STORE (1011) / ALTOONA,Champions,100 8TH STREET SW,POLK,-93.46496,41.64404
4459,KUM & GO #544 / EAGLE GROVE,Big Spenders,1120 S COMMERCIAL,WRIGHT,-93.90439,42.65402
2556,HY-VEE WINE AND SPIRITS (1170) / ESTHERVILLE,Champions,1221 E CENTRAL AVENUE,EMMET,-94.82995,43.40204
3525,WINES AND SPIRITS / WASHINGTON,Champions,106 W 2ND ST,WASHINGTON,-91.69222,41.30041
4698,QUALITY QUICK STOP / FAIRFIELD,Champions,201 WEST BURLINGTIN AVE.,JEFFERSON,-91.96538,41.00666
4254,FAREWAY STORES #849 / EMMETSBURG,Champions,2008 12TH STREET,PALO ALTO,-94.67733,43.10921
3899,WAL-MART 3762 / WDM,Champions,6365 STAGECOACH DR,POLK,-93.79556,41.55806
4236,FAREWAY STORES #551 / EAGLE GROVE,Champions,205 NW  1ST ST,WRIGHT,-93.90326,42.66514
2248,INGERSOLL LIQUOR AND BEVERAGE,Champions,3500 INGERSOLL AVE,POLK,-93.66436,41.58633
5651,SUPER QUICK MART / WINDSOR HEIGHTS,Champions,7690 HICKMAN RD,POLK,-93.7224,41.61451
6306,WINE & SPIRITS SHOPPE OF ALGONA / ALGONA,Champions,111 SOUTH PHILLIPS STREET,KOSSUTH,-94.22686,43.06834
6215,MARLE HAY LIQUOR & SMOKE / DES MOINES,Champions,3408 MERLE HAY ROAD,POLK,-93.69775,41.62514
5211,KUM & GO #129  /  JOHNSTON,Champions,5225 NW  86TH  ST,POLK,-93.73572,41.65581
6117,FAREWAY STORES #212 / COLFAX,Big Spenders,28 E HOWARD ST,JASPER,-93.24444,41.67791
5784,CASEY'S GENERAL STORE #2023 / FT MADISON,Big Spenders,1208 AVE H,LEE,-91.31952,40.6301
2685,HY-VEE -GARNER,Big Spenders,255 WEST US HWY 18,HANCOCK,-93.60538,43.10585
2565,HY-VEE FOOD STORE (1636) / SPENCER,Champions,819 N GRAND AVE,CLAY,-95.14509,43.14635
6116,KWIK SPIRITS #561 / CEDAR FALLS,Champions,4116 UNIVERSITY AVE  STE 104-105,BLACK HAWK,-92.40711,42.50587
5840,BROTHER'S MARKET / CLARION,Big Spenders,325 CENTRAL AVE WEST,WRIGHT,-93.73611,42.73162
5107,KUM & GO #4098 / WINDSOR HEIGHTS,Potential Loyalist,7229 UNIVERSITY AVE,POLK,-93.71724,41.60034
4665,CASEY'S GENERAL STORE #2896 / ANKENY,Big Spenders,2601 SE CREEKVIEW DR,POLK,-93.57162,41.70367
6323,"FAREWAY STORES, INC. #225 / DES MOINES",Champions,2716 BEAVER AVENUE,POLK,-93.67313,41.61993
2642,HY-VEE WINE AND SPIRITS / PELLA,Champions,512 E OSKALOOSA,MARION,-92.8993,41.39695
5917,URBANDALE LIQUOR,Champions,6401 DOUGLAS AVE. STE 1,POLK,-93.70588,41.62996
5080,C'S LIQUOR STORE,Champions,719 2ND AVE W,CLAY,-95.14776,43.14541
5743,CASEY'S GENERAL STORE #3327 / FAIRFIELD,Big Spenders,2125 LIBERTYVILLE RD,JEFFERSON,-91.96364,40.98836
10033,EMPIRE LIQUOR AND TOBACCO / HIAWATHA,Big Spenders,830 ROBINS ROAD,LINN,-91.67297,42.04614
4239,FAREWAY STORES #850 / SPIRIT LAKE,Champions,1906 KEOKUK,DICKINSON,-95.10624,43.42157
5550,CASEY'S GENERAL STORE #2764 / HIAWATHA,Big Spenders,780 N CENTER POINT RD,LINN,-91.68187,42.04626
3420,SAM'S CLUB 6344 / WINDSOR HEIGHTS,Champions,1101  73RD ST,POLK,-93.71806,41.59933
5820,CASEY'S GENERAL STORE #57 / EDDYVILLE,Need Attention,108 S MERINO AVE,WAPELLO,-92.62984,41.1573
4725,CASEY'S GENERAL STORE #1548 / ANKENY,Champions,2905 W 1ST ST,POLK,-93.63847,41.73132
3704,CELTICS BEVERAGE COMPANY,Big Spenders,1122 BROADWAY,PALO ALTO,-94.67888,43.10984
4696,QUIK TRIP #517 / WEST DES MOINES,Potential Loyalist,1451 22ND ST,POLK,-93.73603,41.59506
6029,CASEY'S GENERAL STORE #50 / MOVILLE,Big Spenders,4 S 1ST ST,WOODBURY,-96.0751,42.48846
5264,CASEY'S GENERAL STORE # 2177/MITCHEL,Big Spenders,"309, CENTER AVE",POLK,-93.35812,41.6632
5363,CASEY'S GENERAL STORE # 2253/ CLIVE,Big Spenders,2070 NW 100TH ST,POLK,-93.75572,41.61125
10097,CASEY'S #6127 / COUNCIL BLUFFS,Champions,2711 SOUTH 24TH STREET,POTTAWATTAMIE,-95.87914,41.23453
4867,SPEEDY GAS N SHOP,Big Spenders,430 S 35TH ST,POTTAWATTAMIE,-95.90204,41.25765
5769,CASEY'S GENERAL STORE #2208 / OTTUMWA,Big Spenders,1603 W 2ND ST,WAPELLO,-92.43331,41.03491
4804,WALGREENS #07833 / DES MOINES,Big Spenders,3501 INGERSOLL AVE,POLK,-93.66475,41.58662
4147,FAREWAY STORES #974 / CEDAR FALLS,Champions,214 N MAGNOLIA DR,BLACK HAWK,-92.4747,42.5391
4872,CASEY'S GENERAL STORE #2644 / EARLHAM,Big Spenders,975 N CHESTNUT AVE,MADISON,-94.1234,41.5023
6073,KWIK SPIRITS #560 / CEDAR RAPIDS,Champions,2846 MOUNT VERNON RD SE,LINN,-91.62427,41.97689
3949,WAL-MART 0751 / PELLA,Big Spenders,1650 WASHINGTON ST,MARION,-92.9336,41.41036
3494,SAM'S CLUB 6514 / WATERLOO,Champions,210 EAST TOWER PARK DR,BLACK HAWK,-92.35235,42.45635
4393,KUM & GO #206 / CLIVE,Potential Loyalist,1725 NW 86TH ST,POLK,-93.73633,41.60728
5845,CASEY'S GENERAL STORE #3605 / ANKENY,Big Spenders,3605 NW IRVINEDALE DRIVE,POLK,-93.63896,41.7601
3443,SUPER SAVER IV,Champions,1141 N BROADWAY,POTTAWATTAMIE,-95.83549,41.27072
6202,XO FOOD & LIQUOR / WATERLOO,Big Spenders,428 FRANKLIN STREET,BLACK HAWK,-92.33457,42.50154
4821,CASEY'S GENERAL STORE #3215 / OSKALOOSA,Big Spenders,901 S MARKET ST,MAHASKA,-92.64509,41.28746
2529,HY-VEE DRUGSTORE #4 (7025) / CEDAR RAPIDS,Champions,4825 JOHNSON AVE NW,LINN,-91.7334,41.96838
2575,HY-VEE FOOD STORE #1 / WATERLOO,Champions,2834 ANSBOROUGH AVE,BLACK HAWK,-92.37665,42.47177
4404,KUM & GO #292 / ANKENY,Big Spenders,1825 N ANKENY BLVD,POLK,-93.60023,41.74681
4810,KUM & GO #518 / ANKENY,Big Spenders,3603 NE OTTERVIEW CIRCLE,POLK,-93.57212,41.76177
5230,POINT LIQUOR & TOBACCO,Champions,"3221, CENTER POINT RD NE",LINN,-91.66371,42.01143
4098,WAL-MART 1475 / WASHINGTON,Champions,2485 HWY 92,WASHINGTON,-91.6612,41.29676
6264,MLK LIQUOR LLC / DES MOINES,Champions,3424 MARTIN LUTHER KING JUNIOR PARKWAY,POLK,-93.65133,41.62685
6301,JET STOP BONAPARTE / BONAPARTE,Big Spenders,202 WASHINGTON STREET,VAN BUREN,-91.80163,40.69903
4201,FAREWAY STORES #022 / SIOUX CITY,Champions,4040 WAR EAGLE DR,WOODBURY,-96.46137,42.49481
2627,HY-VEE WINE & SPIRITS #1 / MLK,Champions,3330 MARTIN LUTHER KING JR PKWY,POLK,-93.65088,41.62615
3682,JUMBO'S,Big Spenders,110 E MAIN ST,KOSSUTH,-93.99027,43.08835
3842,BANCROFT LIQUOR STORE,Champions,107 NORTH PORTLAND STREET,KOSSUTH,-94.21799,43.29355
3829,GARY'S FOODS / MT VERNON,Champions,715  1ST AVE S,LINN,-91.42159,41.91746
5876,DA BOOZE BARN / WEST BEND,Big Spenders,108 S BROADWAY,PALO ALTO,-94.44516,42.95923
6019,CASEY'S GENERAL STORE #3888 / ANKENY,Champions,1024 E 1ST ST,POLK,-93.58161,41.73239
2594,HY-VEE FOOD STORE / SIOUX CITY,Champions,4500 SERGEANT ROAD,WOODBURY,-96.34718,42.44756
3628,WAL-MART 1528 / CEDAR RAPIDS,Champions,2645 BLAIRS FERRY RD NE,LINN,-91.68192,42.03473
4135,FAREWAY STORES #925 / ALTOONA,Champions,620 SE 8TH ST,POLK,-93.4586,41.64349
4767,CASEY'S GENERAL STORE #3075 / ANKENY,Big Spenders,6981 NE 14TH ST,POLK,-93.60065,41.68795
5127,PRICE CHOPPER  /  INGERSOLL,Champions,3425 INGERSOLL AVE,POLK,-93.66328,41.58633
4730,WALGREENS #05944 / JOHNSTON,Big Spenders,6200 MERLE HAY RD,POLK,-93.69772,41.67348
10017,KWIK STAR #1119 / EMMETSBURG,Big Spenders,1303 MAIN ST,PALO ALTO,-94.66843,43.11202
5993,CASEY'S GENERAL STORE #3396 / SIGOURNEY,Big Spenders,100 E JACKSON ST,KEOKUK,-92.20456,41.3369
2596,HY-VEE OTTUMWA#2,Need Attention,2453 NORTH COURT,WAPELLO,-92.40811,41.04971
6057,KUM & GO #0731 / DES MOINES,Champions,3104 UNIVERSITY AVE,POLK,-93.65986,41.60007
5889,SUPER QUICK LIQUOR #1800 / WDM,Champions,1800 22ND ST,POLK,-93.7366,41.59907
4673,SONNY'S SUPER MARKET / WEST POINT,Champions,327 5TH ST,LEE,-91.45245,40.71706
5501,QUIK TRIP #530 / EUCLID,Potential Loyalist,1424 E EUCLID AVE,POLK,-93.59897,41.62837
4200,FAREWAY STORES #019 / SIOUX CITY,Champions,4016 INDIAN HILLS DR,WOODBURY,-96.37328,42.53851
5072,PEP STOP,Big Spenders,"901, E WASHINGTON ST",HENRY,-91.54115,40.96425
5246,CASEY'S GENERAL STORE #3476 / FOREST,Big Spenders,1132 HWY  69 SOUTH,HANCOCK,-93.63441,43.25574
4406,KUM & GO #4020 / ANKENY,Big Spenders,1910 SW WHITE BIRCH CIRCLE,POLK,-93.62657,41.70247
5301,YESWAY STORE # 10012/ OTTUMWA,Big Spenders,2508 COURT ST N,WAPELLO,-92.40912,41.05178
